id,load,bs,reward
918,10,2,-118.429443359375
919,10,2,-32.533935546875
920,10,2,-97.23876953125
921,10,2,-36.35009765625
922,10,2,-57.59619140625
923,10,2,-29.26953125
924,10,2,-176.632080078125
925,10,2,-33.728271484375
926,10,2,-151.53857421875
927,10,2,-33.930908203125
928,10,2,-103.179443359375
929,10,2,-29.080322265625
930,10,2,-33.9716796875
931,10,2,-32.703857421875
932,10,2,-108.65576171875
933,10,2,-29.5927734375
934,10,2,-163.88720703125
935,10,2,-32.6708984375
936,10,2,-182.259521484375
937,10,2,-29.681884765625
938,10,2,-243.545166015625
939,10,2,-32.028564453125
940,10,2,-76.0791015625
941,10,2,-39.387939453125
942,10,2,-42.016357421875
943,10,2,-31.7998046875
944,10,2,-243.488525390625
945,10,2,-33.0322265625
946,10,2,-103.20556640625
947,10,2,-28.989990234375
948,10,2,-32.74267578125
949,10,2,-31.65869140625
950,10,2,-158.382080078125
951,10,2,-28.93701171875
952,10,2,-346.1103515625
953,10,2,-29.04541015625
954,10,2,-181.4892578125
955,10,2,-45.759765625
956,10,2,-91.284912109375
957,10,2,-29.321044921875
958,10,2,-150.302001953125
959,10,2,-37.16357421875
960,10,2,-211.648681640625
961,10,2,-34.149658203125
962,10,2,-176.268310546875
963,10,2,-32.642333984375
964,10,2,-59.026123046875
965,10,2,-29.222900390625
966,10,2,-92.0849609375
967,10,2,-38.712646484375
968,10,2,-50.2294921875
969,10,2,-31.589111328125
970,10,2,-53.537109375
971,10,2,-34.4404296875
972,10,2,-52.5419921875
973,10,2,-35.21728515625
974,10,2,-75.303466796875
975,10,2,-38.59228515625
976,10,2,-80.57958984375
977,10,2,-34.693359375
978,10,2,-273.114990234375
979,10,2,-36.79248046875
980,10,2,-184.81640625
981,10,2,-41.85595703125
982,10,2,-46.990478515625
983,10,2,-29.127197265625
984,10,2,-41.30908203125
985,10,2,-27.649169921875
986,10,2,-205.43798828125
987,10,2,-39.711181640625
988,10,2,-103.43701171875
989,10,2,-29.028076171875
990,10,2,-199.221435546875
991,10,2,-29.443603515625
992,10,2,-75.057373046875
993,10,2,-35.566162109375
994,10,2,-235.52783203125
995,10,2,-29.21533203125
996,10,2,-104.218505859375
997,10,2,-39.259765625
998,10,2,-59.417724609375
999,10,2,-44.652587890625
1000,10,2,-111.125244140625
1001,10,2,-30.784912109375
1002,10,2,-33.09423828125
1003,10,2,-28.9189453125
1004,10,2,-71.642822265625
